BOROUGH,POLICE_PRECINCT,CREATED_DATE
BRONX,Precinct 45,12/17/14
BROOKLYN,Precinct 77,12/11/14
BRONX,Precinct 43,12/4/14
BROOKLYN,Precinct 68,12/12/14
BROOKLYN,Precinct 61,12/10/14
BROOKLYN,Precinct 79,12/5/14
BROOKLYN,Precinct 68,12/17/14
BROOKLYN,Precinct 94,12/3/14
BROOKLYN,Precinct 94,12/3/14
BROOKLYN,Precinct 70,12/20/14
BROOKLYN,Precinct 72,12/11/14
QUEENS,Precinct 105,12/15/14
MANHATTAN,Precinct 7,12/13/14
BRONX,Precinct 44,12/2/14
BROOKLYN,Precinct 66,12/10/14
QUEENS,Precinct 102,12/26/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 47,12/10/14
BRONX,Precinct 47,12/4/14
BROOKLYN,Precinct 73,12/26/14
BRONX,Precinct 52,12/10/14
MANHATTAN,Precinct 18,12/15/14
BROOKLYN,Precinct 61,12/30/14
BROOKLYN,Precinct 79,12/11/14
QUEENS,Precinct 114,12/15/14
BROOKLYN,Precinct 90,12/3/14
BROOKLYN,Precinct 94,12/1/14
MANHATTAN,Precinct 28,12/2/14
BRONX,Precinct 40,12/16/14
BRONX,Precinct 40,12/5/14
BROOKLYN,Precinct 66,12/11/14
BROOKLYN,Precinct 66,12/10/14
QUEENS,Precinct 114,12/1/14
MANHATTAN,Precinct 10,12/17/14
BRONX,Precinct 52,12/11/14
BRONX,Precinct 45,12/20/14
MANHATTAN,Precinct 33,12/19/14
QUEENS,Precinct 103,12/1/14
BROOKLYN,Precinct 61,12/31/14
MANHATTAN,Precinct 20,12/14/14
BRONX,Precinct 47,12/11/14
BRONX,Precinct 45,12/15/14
BRONX,Precinct 45,12/17/14
MANHATTAN,Precinct 34,12/2/14
BRONX,Precinct 47,12/10/14
BROOKLYN,Precinct 78,12/11/14
BRONX,Precinct 45,12/17/14
QUEENS,Precinct 103,12/1/14
BRONX,Precinct 40,12/16/14
QUEENS,Precinct 109,12/5/14
QUEENS,Precinct 115,12/3/14
BRONX,Precinct 45,12/20/14
BROOKLYN,Precinct 94,12/3/14
MANHATTAN,Precinct 7,12/10/14
BROOKLYN,Precinct 88,12/11/14
BROOKLYN,Precinct 79,12/11/14
BROOKLYN,Precinct 77,12/11/14
BRONX,Precinct 48,12/10/14
BRONX,Precinct 50,12/11/14
BROOKLYN,Precinct 72,12/26/14
BROOKLYN,Precinct 68,12/20/14
BROOKLYN,Precinct 61,12/31/14
MANHATTAN,Precinct 9,12/12/14
MANHATTAN,Precinct 10,12/17/14
BROOKLYN,Precinct 72,12/10/14
BROOKLYN,Precinct 83,12/10/14
BROOKLYN,Precinct 94,12/3/14
BRONX,Precinct 45,12/15/14
BROOKLYN,Precinct 83,12/3/14
BROOKLYN,Unspecified,12/18/14
BROOKLYN,Unspecified,12/17/14
MANHATTAN,Precinct 34,12/2/14
